Date,Heure,Artiste,Titre,Année de la chanson,Sexe,Pays d’Origine
2012-07-13,05H00,Katy Perry,Hot N Cold,2008,F,USA
2012-07-13,05H03,Dry,Ma Melodie,2012,H,France
2012-07-13,05H07,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-13,05H11,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-13,05H17,Shaggy,Girls Just Wanna Have Fun,2012,H,Jamaique
2012-07-13,05H23,Birdy,Skinny Love,2008,F,USA
2012-07-13,05H27,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-13,05H29,Shaka Ponk,My Name Is Stain,2012,Groupe,France
2012-07-13,05H33,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,05H40,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,05H43,Serebro,Mama Luba (mama Lover),2011,Groupe,Russie
2012-07-13,05H51,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-13,05H58,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,06H02,Lmfao,Party Rock Anthem,2011,Groupe,USA
2012-07-13,06H06,Jenifer,Sur Le Fil,2012,F,France
2012-07-13,06H14,Of Monsters And Men,Little Talks,2011,Groupe,Islande
2012-07-13,06H21,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,06H25,Pitbull,Back In Time,2012,H,USA
2012-07-13,06H33,Katy Perry,Wide Awake,2012,F,USA
2012-07-13,06H41,Matt Houston,Positif,2012,H,France
2012-07-13,06H45,Superbus,A La Chaine,2012,Groupe,France
2012-07-13,06H49,Madonna,Girl Gone Wild,2012,F,USA
2012-07-13,07H02,Black Eyed Peas,Meet Me Halfway,2009,Groupe,USA
2012-07-13,07H06,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,07H14,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-13,07H17,Shakira,Addicted To You,2012,F,Colombie
2012-07-13,07H21,Shy'm,Et Alors !,2012,F,France
2012-07-13,07H24,Birdy,Skinny Love,2008,F,USA
2012-07-13,07H34,Usher,Scream,2012,H,USA
2012-07-13,07H37,Dry,Ma Melodie,2012,H,France
2012-07-13,07H42,Owl City,Good Time,2012,H,USA
2012-07-13,07H49,David Guetta,Metropolis,2012,H,France
2012-07-13,07H52,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,08H02,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,08H09,Emeli Sande,next to me,2012,F,Inconnu
2012-07-13,08H10,Adele,Someone Like You,2011,F,Angleterre
2012-07-13,08H10,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-13,08H19,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-13,08H22,Kenza Farah,Quelque Part,2012,F,France
2012-07-13,08H26,Pitbull,Back In Time,2012,H,USA
2012-07-13,08H37,Kelly Clarkson,Stronger,2012,F,USA
2012-07-13,08H41,Youssoupha,Dreamin,2012,H,France
2012-07-13,08H46,Basto,I Rave You,2012,H,Belgique
2012-07-13,08H53,Flo Rida,Whistle,2012,H,USA
2012-07-13,08H56,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,09H02,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,09H09,Jenifer,Sur Le Fil,2012,F,France
2012-07-13,09H18,Nossa,Mas Que Nada,2012,Groupe,Espagne
2012-07-13,09H25,Birdy,Skinny Love,2008,F,USA
2012-07-13,09H28,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-13,09H31,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-13,09H45,Pink,Fuckin'perfect,2010,F,USA
2012-07-13,09H47,Will i Am,This Is Love,2012,H,USA
2012-07-13,09H51,Matt Houston,Positif,2012,H,France
2012-07-13,09H55,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,10H00,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-13,10H04,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,10H08,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,10H15,Beyonce,Irreplaceable,2006,F,USA
2012-07-13,10H15,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,10H18,Mutine,Fille Ou Garcon,2012,Groupe,France
2012-07-13,10H29,Katy Perry,Part Of Me,2012,F,USA
2012-07-13,10H32,Dry,Ma Melodie,2012,H,France
2012-07-13,10H36,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,10H47,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-13,10H51,Shy'm,Et Alors !,2012,F,France
2012-07-13,10H54,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-13,11H00,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-13,11H07,Rihanna,Umbrella,2007,F,USA
2012-07-13,11H10,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,11H14,Owl City,Good Time,2012,H,USA
2012-07-13,11H25,Birdy,Skinny Love,2008,F,USA
2012-07-13,11H29,Michel Telo,Ai Se Eu Te Pego (nooossa,2011,H,Bresil
2012-07-13,11H31,Basto,I Rave You,2012,H,Belgique
2012-07-13,11H34,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,11H44,Usher,Scream,2012,H,USA
2012-07-13,11H48,Kenza Farah,Quelque Part,2012,F,France
2012-07-13,11H52,Remady,No Superstar,2009,H,Suisse
2012-07-13,11H55,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,12H00,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-13,12H04,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-13,12H07,Shakira,Addicted To You,2012,F,Colombie
2012-07-13,12H11,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-13,12H14,Alicia Keys,No One,2011,F,USA
2012-07-13,12H17,Shaka Ponk,Let's Bang,2012,Groupe,France
2012-07-13,12H25,Pitbull,Back In Time,2012,H,USA
2012-07-13,12H28,Kelly Clarkson,Stronger,2012,F,USA
2012-07-13,12H32,Dry,Ma Melodie,2012,H,France
2012-07-13,12H36,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,12H47,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-13,12H50,Leslie,On Ne Sait Jamais,2003,F,France
2012-07-13,12H54,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-13,12H57,Flo Rida,Whistle,2012,H,USA
2012-07-13,13H00,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,13H03,Youssoupha,Dreamin,2012,H,France
2012-07-13,13H06,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,13H14,Britney Spears,Toxic,2004,F,USA
2012-07-13,13H14,Superbus,A La Chaine,2012,Groupe,France
2012-07-13,13H18,Khaled,C'est La Vie,2012,H,Algerie
2012-07-13,13H25,Birdy,Skinny Love,2008,F,USA
2012-07-13,13H31,Coldplay,Princess Of China,2012,Groupe,Angleterre
2012-07-13,13H31,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-13,13H35,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-13,13H45,Katy Perry,Wide Awake,2012,F,USA
2012-07-13,13H49,Matt Houston,Positif,2012,H,France
2012-07-13,13H53,Of Monsters And Men,Little Talks,2011,Groupe,Islande
2012-07-13,13H59,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,14H00,Mika,Celebrate,2012,H,Angleterre
2012-07-13,14H04,Usher,Scream,2012,H,USA
2012-07-13,14H11,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,14H17,Leslie,Des Mots Invincibles,2012,F,France
2012-07-13,14H28,Jenifer,Sur Le Fil,2012,F,France
2012-07-13,14H31,Rihanna,Where Have You Been,2012,F,USA
2012-07-13,14H35,Dry,Ma Melodie,2012,H,France
2012-07-13,14H46,Adele,Rolling In The Deep,2010,F,Angleterre
2012-07-13,14H50,Lucenzo,Wine It Up,2012,H,France
2012-07-13,14H57,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,15H00,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,15H04,Emeli Sande,next to me        1,2012,F,Inconnu
2012-07-13,15H07,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,15H10,Kenza Farah,Quelque Part,2012,F,France
2012-07-13,15H14,Michael Jackson,Thriller,1984,H,USA
2012-07-13,15H18,Jennifer Lopez,Goin In,2012,F,USA
2012-07-13,15H31,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-13,15H34,Shaka Ponk,My Name Is Stain,2012,Groupe,France
2012-07-13,15H37,Youssoupha,Dreamin,2012,H,France
2012-07-13,15H48,Katy Perry,Teenage Dream,2010,F,USA
2012-07-13,15H51,Basto,I Rave You,2012,H,Belgique
2012-07-13,15H59,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,16H00,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-13,16H03,Kelly Clarkson,Stronger,2012,F,USA
2012-07-13,16H07,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,16H11,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-13,16H15,Pink,Family Portrait,2002,F,USA
2012-07-13,16H19,The Wanted,Chasing The Sun,2012,Groupe,Angleterre
2012-07-13,16H26,Pitbull,Back In Time,2012,H,USA
2012-07-13,16H34,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-13,16H34,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-13,16H37,Shakira,Addicted To You,2012,F,Colombie
2012-07-13,16H47,Elisa Tovati,Il Nous Faut,2011,F,France
2012-07-13,16H50,Will i Am,This Is Love,2012,H,USA
2012-07-13,16H53,Matt Houston,Positif,2012,H,France
2012-07-13,16H57,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,17H00,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-13,17H04,Dry,Ma Melodie,2012,H,France
2012-07-13,17H07,Katy Perry,Part Of Me,2012,F,USA
2012-07-13,17H14,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,17H18,M Pokora,Merci D'etre,2012,H,France
2012-07-13,17H18,Serebro,Mama Luba (mama Lover),2011,Groupe,Russie
2012-07-13,17H29,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-13,17H31,Shy'm,Et Alors !,2012,F,France
2012-07-13,17H35,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,17H45,Superbus,A La Chaine,2012,Groupe,France
2012-07-13,17H49,Rihanna,Rude Boy,2010,F,USA
2012-07-13,17H52,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,17H56,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,18H00,Jenifer,Sur Le Fil,2012,F,France
2012-07-13,18H06,Emeli Sande,next to me        1,2012,F,Inconnu
2012-07-13,18H07,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,18H10,Katy Perry,Wide Awake,2012,F,USA
2012-07-13,18H15,Cascada,Summer Of Love,2012,Groupe,Allemagne
2012-07-13,18H26,Pitbull,Back In Time,2012,H,USA
2012-07-13,18H29,Youssoupha,Dreamin,2012,H,France
2012-07-13,18H32,Usher,Scream,2012,H,USA
2012-07-13,18H46,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,18H50,Madonna,Girl Gone Wild,2012,F,USA
2012-07-13,18H57,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,19H00,Dry,Ma Melodie,2012,H,France
2012-07-13,19H03,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-13,19H07,Jason De Rulo,Breathing,2011,H,USA
2012-07-13,19H11,Kenza Farah,Quelque Part,2012,F,France
2012-07-13,19H17,Sean Paul,Touch The Sky,2012,H,Jamaique
2012-07-13,19H27,Flo Rida,Whistle,2012,H,USA
2012-07-13,19H29,David Guetta,Metropolis,2012,H,France
2012-07-13,19H33,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,19H43,Laza Morgan,One By One,2011,H,Jamaique
2012-07-13,19H47,Martin Solveig,Hello,2010,H,France
2012-07-13,19H50,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-13,19H57,Pitbull,Get It Started,2012,H,USA
2012-07-13,19H57,Tacabro,Tacata,2012,Groupe,Italie
2012-07-13,20H12,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,21H23,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-13,21H23,Will i Am,This Is Love,2012,H,USA
2012-07-13,21H41,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-13,21H41,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-13,22H03,Dry,Ma Melodie,2012,H,France
2012-07-13,22H03,Owl City,Good Time,2012,H,USA
2012-07-13,22H23,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-13,22H31,Maroon 5,Payphone,2012,Groupe,USA
2012-07-13,22H31,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-13,22H40,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-13,23H03,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-13,23H03,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-13,23H23,Shy'm,Et Alors !,2012,F,France
2012-07-13,23H28,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-13,23H28,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-14,06H02,Will i Am,This Is Love,2012,H,USA
2012-07-14,06H05,Katy Perry,Part Of Me,2012,F,USA
2012-07-14,06H09,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,06H15,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-14,06H22,Usher,Scream,2012,H,USA
2012-07-14,06H25,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-14,06H36,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,06H36,Shy'm,Et Alors !,2012,F,France
2012-07-14,06H39,Maroon 5,Payphone,2012,Groupe,USA
2012-07-14,06H48,Tacabro,Tacata,2012,Groupe,Italie
2012-07-14,06H52,Dry,Ma Melodie,2012,H,France
2012-07-14,06H57,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-14,07H01,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-14,07H04,Kenza Farah,Quelque Part,2012,F,France
2012-07-14,07H06,M Pokora,Juste Un Instant,2012,H,France
2012-07-14,07H10,Pitbull,Back In Time,2012,H,USA
2012-07-14,07H17,Mutine,Fille Ou Garcon,2012,Groupe,France
2012-07-14,07H23,Youssoupha,Dreamin,2012,H,France
2012-07-14,07H27,Agnes,Release Me,2008,F,Suede
2012-07-14,07H31,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-14,07H37,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-14,07H40,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-14,07H51,Superbus,A La Chaine,2012,Groupe,France
2012-07-14,07H55,Taio Cruz,There She Goes,2012,H,Angleterre
2012-07-14,08H00,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-14,08H04,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-14,08H10,Matt Houston,Positif,2012,H,France
2012-07-14,08H16,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-14,08H23,Shakira,Addicted To You,2012,F,Colombie
2012-07-14,08H26,Inna Modja,French Cancan,2011,F,Cameroun
2012-07-14,08H29,Dry,Ma Melodie,2012,H,France
2012-07-14,08H35,Leslie,Des Mots Invincibles,2012,F,France
2012-07-14,08H39,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-14,08H49,Justin Nozuka,Heartless (promesse),2010,H,USA
2012-07-14,08H52,Keen V,Ma Vie Au Soleil,2012,H,France
